,id,name,other_information,permalink,rectype
9,105500,PETERSEN AUDREY M,No 13F filings,petersen-audrey-m,filer
9,105808,"VARDE FUND X (A) (FEEDER), L.P.",No 13F filings,varde-fund-x-a-feeder-l-p,filer
9,106366,PROVIDENCE EQUITY PARTNERS V L P,No 13F filings,providence-equity-partners-v-l-p,filer
9,106661,SCOPIA INTERNATIONAL LTD,No 13F filings,scopia-international-ltd,filer
9,106717,PERRY CRAIG,No 13F filings,perry-craig,filer
9,106819,"AVENUE CAPITAL PARTNERS V, LLC",No 13F filings,avenue-capital-partners-v-llc,filer
9,10925,"VERTICAL COMMUNICATIONS, INC.",No 13F filings,vertical-communications-inc,filer
9,109723,"CBRE CLARION GLOBAL, LTD.",No 13F filings,ing-clarion-global-ltd,filer
9,109725,"CBRE CLARION GLOBAL, LP",No 13F filings,ing-clarion-global-lp,filer
9,109791,HYUNDAI MTR CO,HYMPY ,hympy,stock
9,110677,CDK ASIA L P,No 13F filings,cdk-asia-l-p,filer
9,113042,"RESERVOIR FUND, LP",No 13F filings,reservoir-fund-lp,filer
9,115772,Manning Napier Inc ,MN ,mn,stock
9,11615,LINDEN DEBORAH L,No 13F filings,linden-deborah-l,filer
9,116487,HALCYON PARTNERS OFFSHORE LTD.,No 13F filings,halcyon-partners-offshore-ltd,filer
9,117240,"TRIAN PARTNERS II, L.P.",No 13F filings,trian-partners-ii-l-p,filer
9,118312,PENTWATER EQUITY OPPORTUNITIES FUND LLC,No 13F filings,pentwater-equity-opportunities-fund-llc,filer
9,119073,RAM Energy Resources Inc ,RAM ,ram-2,stock
9,119352,TELESERVICES INT GRP,TIGI ,tigi-2,stock
9,119399,SIVANESAN JANAKI,No 13F filings,sivanesan-janaki,filer
9,11993,KAYNE ANDERSON ENERGY DEVELOPMENT COMPANY,No 13F filings,kayne-anderson-energy-development-co,filer
9,12242,MITCHELL MARK R,No 13F filings,mitchell-mark-r,filer
9,123388,"CANDLEWOOD SPECIAL SITUATIONS FUND, LTD.",No 13F filings,candlewood-special-situations-fund-ltd,filer
9,12364,LANDAUER INC,No 13F filings,landauer-inc,filer
9,124576,ELLINGTON AGENCY REIT INC.,No 13F filings,ellington-agency-reit-inc,filer
9,12612,YORK JEROME B,No 13F filings,york-jerome-b,filer
9,126876,"WHITEBOX CREDIT FUND, LP",No 13F filings,whitebox-credit-arbitrage-fund-lp,filer
9,127425,FORMULA ACQUISITION CORP.,No 13F filings,formula-acquisition-corp,filer
9,128459,GAMETECH INTL INC,GMTC.PK ,gmtcpk,stock
9,128831,Burton Marshall M.,No 13F filings,burton-marshall-m,filer
9,12911,HENDERSON MARY R,No 13F filings,henderson-mary-r,filer
9,129169,Independence Energy Corp ,IDNG ,idng-2,stock
9,129247,Northern Tier Energy LP,NTI ,nti,stock
9,129264,LUCYS WTR WORLD INC COM STK ,LWWA ,lwwa,stock
9,130104,Burke Herbert Bank Trust Co ,BHRB.OB ,bhrb-2,stock
9,130398,ROCK SPRINGS MINERAL PROCESSING,No 13F filings,rock-springs-mineral-processing,filer
9,130405,PARKE DAVID C,No 13F filings,parke-david-c,filer
9,132118,ALCENTRA GLOBAL SPECIAL SITUATIONS FUND CAYMAN FEEDER,No 13F filings,alcentra-global-special-situations-fund-cayman-feeder,filer
9,138915,TERRA INVENTIONS CORP COMMON,LIMO ,limo-3,stock
